礼貌用语,你好！遇见你真高兴。,侬好，碰到侬交关开心。,szzzzzz
礼貌用语,我很好！你呢？,吾老好额，侬呢？,s4w9zUZ
礼貌用语,我也很好！,吾啊老好额。,sqvKzAf
礼貌用语,你最近怎么样？,侬最近哪能？,s7vJzSo
礼貌用语,一切还好吧？,才好伐？,sBubzst
礼貌用语,都好，谢谢！,才蛮好，谢谢侬。,s0uIz9T
礼貌用语,家人怎么样？,窝里相宁好伐?,s5upzIQ
礼貌用语,和平常一样。,特平常一样额。,sJuWzZA
礼貌用语,有什么好事吗？,有撒好事体伐？,svtgzea
礼貌用语,没有什么特别的。,么撒特别额。,smzpzzk
礼貌用语,你父母呢？还好吧？,拿爸爸妈妈呢， 伊拉好伐？,sezazcM
礼貌用语,他们不错，非常好！,伊拉蛮好，老好额！,suz0zIM
礼貌用语,孩子怎么样？,小宁好伐？,sdyazpg
礼貌用语,一般，不是很好。,一般，伐是老好。,scydzBY
礼貌用语,他正在准备高考。,现在了海准备高考。,sbxbzzJ
礼貌用语,请代我向你全家问好。,代吾帮拿窝里相问好。,sFxez7z
礼貌用语,近来工作如何？,最近工作哪能？,sRxzzWM
礼貌用语,工作很忙，还要自学英语。,工作老忙额，还要自学英文,sXw1z4b
礼貌用语,你呢？过得怎么样？,"侬呢,过了好伐？",sHwZzJ8
礼貌用语,不错，一切顺利。,伐错，一切顺利。,sFw8zUJ
礼貌用语,你好！遇见你真高兴。,侬好，碰到侬交关开心。,szzzzzz
礼貌用语,我很好！你呢？,吾老好额，侬呢？,s4w9zUZ
礼貌用语,我也很好！,吾啊老好额。,sqvKzAf
礼貌用语,你最近怎么样？,侬最近哪能？,s7vJzSo
礼貌用语,一切还好吧？,才好伐？,sBubzst
礼貌用语,都好，谢谢！,才蛮好，谢谢侬。,s0uIz9T
礼貌用语,家人怎么样？,窝里相宁好伐?,s5upzIQ
礼貌用语,和平常一样。,特平常一样额。,sJuWzZA
礼貌用语,有什么好事吗？,有撒好事体伐？,svtgzea
礼貌用语,没有什么特别的。,么撒特别额。,smzpzzk
礼貌用语,你父母呢？还好吧？,拿爸爸妈妈呢， 伊拉好伐？,sezazcM
礼貌用语,他们不错，非常好！,伊拉蛮好，老好额！,suz0zIM
礼貌用语,孩子怎么样？,小宁好伐？,sdyazpg
礼貌用语,一般，不是很好。,一般，伐是老好。,scydzBY
礼貌用语,他正在准备高考。,现在了海准备高考。,sbxbzzJ
